timestamp,check_id,title,severity,decision,action,result,resource
2026-09-11T17:35:18.364382,ec2_ebs_default_encryption,EBS default encryption is enabled,high,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:volume
2026-09-11T17:35:18.364587,ec2_ebs_volume_protected_by_backup_plan,EBS volume is protected by a backup plan,medium,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:volume/vol-09a5a1cf5838936ca
2026-09-11T17:35:18.364685,ec2_ebs_volume_snapshots_exists,EBS volume has at least one snapshot,high,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:volume/vol-09a5a1cf5838936ca
2026-09-11T17:35:18.364766,ec2_instance_account_imdsv2_enabled,IMDSv2 is required by default for EC2 instances at the account level,high,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:account
2026-09-11T17:35:18.595853,ec2_instance_detailed_monitoring_enabled,EC2 instance has detailed monitoring enabled,low,AUTO_REMEDIATE,Enabled EC2 detailed monitoring,Success,arn:aws:ec2:eu-north-1:227842501528:instance/i-08adc39bb44195755
2026-09-11T17:35:18.596245,ec2_instance_internet_facing_with_instance_profile,EC2 instance is not internet-facing with an instance profile attached,high,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:instance/i-08adc39bb44195755
2026-09-11T17:35:18.597430,ec2_instance_public_ip,EC2 instance does not have a public IP address,medium,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:instance/i-08adc39bb44195755
2026-09-11T17:35:18.597759,ec2_networkacl_allow_ingress_any_port,Network ACL does not allow ingress from 0.0.0.0/0 to any port,high,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:network-acl/acl-07d3c473c6eb2d97b
2026-09-11T17:35:18.597891,ec2_networkacl_allow_ingress_any_port,Network ACL does not allow ingress from 0.0.0.0/0 to any port,high,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:network-acl/acl-09536259fa0a7ac39
2026-09-11T17:35:18.597996,ec2_networkacl_allow_ingress_tcp_port_22,Network ACL does not allow ingress from the Internet to TCP port 22 (SSH),medium,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:network-acl/acl-07d3c473c6eb2d97b
2026-09-11T17:35:18.598082,ec2_networkacl_allow_ingress_tcp_port_22,Network ACL does not allow ingress from the Internet to TCP port 22 (SSH),medium,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:network-acl/acl-09536259fa0a7ac39
2026-09-11T17:35:18.598165,ec2_networkacl_allow_ingress_tcp_port_3389,Network ACL does not allow ingress from the Internet to TCP port 3389 (RDP),medium,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:network-acl/acl-07d3c473c6eb2d97b
2026-09-11T17:35:18.598295,ec2_networkacl_allow_ingress_tcp_port_3389,Network ACL does not allow ingress from the Internet to TCP port 3389 (RDP),medium,HUMAN_APPROVAL,Waiting for human approval,Pending,arn:aws:ec2:eu-north-1:227842501528:network-acl/acl-09536259fa0a7ac39
